Name,Number,Name,Number
John,376316,Mary,478638
William,303018,Helen,248155
James,275074,Dorothy,207476
Robert,239187,Margaret,189234
Joseph,179300,Ruth,173676
George,176610,Mildred,124000
Charles,173534,Anna,118998
Edward,125721,Elizabeth,116811
Frank,116019,Frances,105600
Thomas,91619,Virginia,94322
Walter,89146,Marie,92087
Harold,79721,Evelyn,91491
Henry,79667,Alice,85866
Paul,78216,Florence,81465
Richard,74603,Lillian,75914
Raymond,71820,Rose,74690
Albert,68207,Irene,68968
Arthur,67478,Louise,67973
Harry,65874,Edna,66897
Donald,57002,Catherine,65823
Ralph,52523,Gladys,65812
Louis,50600,Ethel,63662
Jack,49527,Josephine,61356
Clarence,49196,Ruby,60308
Carl,48455,Martha,59508
Willie,47690,Grace,57973
Howard,46598,Hazel,57068
Fred,44346,Thelma,57011
David,43856,Lucille,56147
Kenneth,43249,Edith,56059
Francis,41053,Eleanor,54163
Roy,40340,Doris,53250
Earl,40274,Annie,52300
Joe,38250,Pauline,50076
Ernest,37134,Gertrude,49566
Lawrence,36354,Esther,49212
Stanley,35908,Betty,44894
Anthony,35627,Beatrice,44515
Eugene,35160,Marjorie,44451
Samuel,34167,Clara,44346
Herbert,33860,Emma,41819
Alfred,32635,Bernice,40347
Leonard,31878,Bertha,40120
Michael,30862,Ann,39506
Elmer,28600,Jean,39284
Andrew,28153,Elsie,39274
Leo,26656,Julia,39259
Bernard,25628,Agnes,39256
Norman,25033,Lois,38180
Peter,24935,Sarah,38120
Russell,24843,Marion,37974
Daniel,23980,Katherine,36884
Edwin,23697,Eva,34909
Frederick,23542,Ida,34792
Chester,23500,Bessie,33859
Herman,22598,Pearl,33834
Lloyd,21743,Anne,33478
Melvin,21739,Viola,33077
Lester,21509,Myrtle,32432
Floyd,21472,Nellie,30879
Leroy,21275,Mabel,30783
Theodore,21106,Laura,30549
Clifford,20886,Kathryn,29235
Clyde,19865,Stella,28526
Charlie,19834,Vera,28289
Sam,18544,Willie,28178
Woodrow,18355,Jessie,27835
Vincent,18285,Jane,27740
Philip,18166,Alma,27515
Marvin,17821,Minnie,27486
Ray,17792,Sylvia,25655
Lewis,17787,Ella,24912
Milton,17522,Lillie,24651
Benjamin,17310,Rita,23851
Victor,17157,Leona,23825
Vernon,16967,Barbara,23704
Gerald,16522,Vivian,23634
Jesse,16293,Lena,23624
Martin,16097,Violet,23157
Cecil,15986,Lucy,23117
Alvin,15499,Jennie,23068
Lee,15380,Genevieve,22830
Willard,15364,Marguerite,22658
Leon,15280,Charlotte,22548
Oscar,14869,Mattie,22244
Glenn,14304,Marian,22158
Edgar,14080,Blanche,21977
Gordon,13641,Mae,21530
Stephen,13502,Ellen,21500
Harvey,13304,Wilma,21383
Sidney,12794,Juanita,20878
Claude,12792,Opal,20386
Everett,12748,June,19244
Arnold,12586,Geraldine,18990
Morris,12484,Beulah,18874
Wilbur,12411,Velma,18631
Warren,12012,Theresa,18348
Wayne,11572,Carrie,18067
Allen,11493,Phyllis,17885
Homer,11471,Maxine,17800
Maurice,11429,Nancy,17284
Alexander,11352,Emily,17069
Max,10859,Georgia,16673
Virgil,10858,Fannie,16632
Gilbert,10791,Kathleen,16592
Irving,10737,Hattie,16418
Leslie,10630,Inez,16342
Eddie,10507,Sophie,16179
Johnnie,10426,Rosa,15976
Nicholas,10233,Lorraine,15729
Hugh,10201,Hilda,15674
Julius,10193,Harriet,15598
Jessie,10170,Norma,15501
Marion,10156,Eunice,15474
Luther,9762,Sara,15409
Steve,9638,Cora,15317
Hubert,9600,Ada,15234
Ben,9539,Geneva,15043
Curtis,8911,Alberta,14575
Roland,8799,Loretta,14570
Jacob,8684,Mamie,14550
Wallace,8681,Christine,14094
Oliver,8657,Dora,14012
Glen,8544,Lula,13930
Horace,8489,Estelle,13807
Roger,8408,Verna,13214
Manuel,8371,Audrey,13139
Dale,8218,Madeline,13042
Franklin,8005,Shirley,12742
Mike,7942,Eileen,12706
Orville,7901,Daisy,12475
Alex,7871,Sadie,12388
Tom,7622,Olive,12355
Wesley,7603,Naomi,12030
Tony,7495,Lola,11765
Edmund,7422,Flora,11761
Jerome,7405,Lucile,11738
Willis,7339,Olga,11733
Nathan,7132,Mable,11718
Otis,6963,Muriel,11701
Archie,6933,Susie,11562
Douglas,6908,Maggie,11485
Rudolph,6858,Maria,11331
Earnest,6856,Jeanette,11134
