Name,Number,Name,Number
James,843658,Mary,625591
Michael,837306,Linda,564337
Robert,830279,Patricia,459649
John,797816,Susan,437754
David,769786,Deborah,430536
William,591150,Barbara,345712
Richard,535355,Debra,341336
Thomas,454308,Karen,332504
Mark,382503,Nancy,286799
Charles,361121,Donna,270330
Steven,333601,Cynthia,263413
Gary,329881,Sandra,251590
Joseph,299958,Pamela,237385
Donald,273523,Sharon,232794
Ronald,271115,Kathleen,224331
Kenneth,262779,Carol,222645
Paul,253146,Diane,210626
Larry,245653,Brenda,209236
Daniel,243668,Cheryl,171382
Stephen,207229,Janet,167512
Dennis,204227,Elizabeth,165649
Timothy,198264,Kathy,157930
Edward,188304,Margaret,149578
Jeffrey,184618,Janice,133609
George,181009,Carolyn,124066
Gregory,178410,Denise,123773
Kevin,158981,Judy,118054
Douglas,148169,Rebecca,115687
Terry,140696,Joyce,114970
Anthony,136623,Teresa,114276
Jerry,136562,Christine,113338
Bruce,136430,Catherine,108833
Randy,120527,Shirley,108809
Frank,112314,Judith,108749
Brian,112311,Betty,103203
Scott,111791,Beverly,97783
Roger,110136,Lisa,95816
Raymond,108918,Laura,95518
Peter,102722,Theresa,89602
Patrick,96840,Connie,88804
Keith,91212,Ann,87039
Lawrence,91095,Gloria,86703
Wayne,88097,Julie,86695
Danny,86636,Gail,85617
Alan,83963,Joan,85166
Gerald,82606,Paula,84870
Ricky,79150,Peggy,84287
Carl,78739,Cindy,83976
Christopher,78259,Martha,83183
Dale,75549,Bonnie,83011
Walter,72185,Jane,82919
Craig,69473,Cathy,82716
Willie,66447,Robin,82424
Johnny,65768,Debbie,82097
Arthur,65710,Diana,80226
Steve,64228,Marilyn,80158
Joe,62624,Kathryn,77804
Randall,62435,Dorothy,74475
Russell,62389,Wanda,72447
Jack,62385,Jean,72263
Henry,62224,Vicki,71977
Harold,62170,Sheila,70169
Roy,61834,Virginia,69783
Andrew,60954,Sherry,68326
Philip,60836,Katherine,66851
Ralph,60428,Rose,66696
Billy,59270,Lynn,66050
Glenn,58706,Jo,63951
Stanley,57150,Ruth,62529
Jimmy,54883,Maria,62448
Rodney,54808,Darlene,61881
Barry,54800,Jacqueline,60461
Samuel,53757,Rita,60265
Eric,53296,Rhonda,59813
Bobby,53275,Phyllis,57771
Albert,52828,Helen,57571
Phillip,52447,Vickie,56856
Ronnie,51295,Kim,56078
Martin,50985,Lori,56071
Mike,48352,Ellen,55382
Eugene,48277,Elaine,54232
Louis,47923,Joanne,53560
Howard,47849,Anne,52393
Allen,47308,Valerie,52233
Curtis,46311,Alice,52068
Jeffery,45860,Frances,51197
Frederick,44271,Suzanne,50326
Leonard,43556,Marie,49259
Harry,43330,Victoria,49126
Micheal,40916,Kimberly,48951
Tony,40783,Anita,47592
Ernest,39669,Laurie,46957
Eddie,38588,Michelle,46782
Fred,37452,Sally,46703
Darrell,37256,Terri,46434
Jay,36960,Marcia,43733
Melvin,36167,Terry,43193
Lee,35818,Jennifer,43069
Matthew,35797,Leslie,43045
Vincent,35338,Doris,42898
Tommy,34962,Maureen,42812
Francis,34761,Wendy,42671
Marvin,34702,Michele,41971
Dean,34570,Anna,41700
Rick,34378,Marsha,41553
Victor,33878,Angela,40354
Norman,33744,Sarah,39966
Earl,32648,Sylvia,39533
Jose,31427,Jill,39059
Calvin,30552,Dawn,38899
Ray,29915,Sue,38854
Clifford,29856,Evelyn,38405
Alfred,29748,Roberta,37914
Jerome,29701,Jeanne,37667
