Name,Number,Name,Number
Robert,590774,Mary,572982
James,547447,Betty,300393
John,487916,Barbara,296409
William,416710,Shirley,229371
Richard,330477,Patricia,220579
Charles,303202,Dorothy,210410
Donald,283694,Joan,173436
George,192280,Margaret,157368
Thomas,183871,Nancy,142483
Joseph,180561,Helen,140421
David,164692,Carol,117731
Edward,147841,Joyce,115506
Ronald,140327,Doris,110655
Paul,125768,Ruth,109197
Kenneth,125095,Virginia,103084
Frank,108086,Marilyn,98533
Raymond,99582,Elizabeth,96478
Jack,96385,Jean,94183
Harold,95464,Frances,92117
Billy,88336,Beverly,80841
Gerald,82816,Lois,80711
Walter,80900,Alice,78970
Jerry,80686,Donna,78843
Joe,71465,Martha,77696
Eugene,70938,Dolores,77131
Henry,70417,Janet,76030
Bobby,69416,Phyllis,73804
Arthur,67726,Norma,72876
Carl,66752,Carolyn,69525
Larry,65245,Evelyn,69362
Ralph,63799,Gloria,68588
Albert,62818,Anna,66593
Willie,62464,Marie,65801
Fred,56160,Ann,64060
Michael,56005,Mildred,61734
Lawrence,54486,Rose,59103
Harry,53114,Peggy,56270
Roy,51493,Geraldine,50040
Howard,51490,Catherine,50027
Norman,49989,Judith,49904
Roger,49610,Louise,49860
Daniel,47997,Janice,49344
Louis,47747,Marjorie,49212
Earl,44607,Annie,48944
Gary,43597,Ruby,47648
Clarence,42672,Eleanor,46378
Anthony,42542,Jane,45814
Francis,41382,Sandra,45399
Wayne,41139,Irene,44448
Marvin,41080,Wanda,43074
Ernest,39340,Elaine,41107
Leonard,39212,June,40744
Herbert,37820,Joanne,40577
Melvin,37704,Rita,38740
Stanley,37129,Florence,37941
Leroy,36256,Delores,37602
Don,35974,Lillian,37394
Peter,35823,Marlene,37355
Jimmy,35396,Edna,36973
Alfred,34387,Sarah,36514
Dale,32534,Patsy,36472
Bill,32333,Lorraine,36331
Samuel,32134,Thelma,36253
Bernard,30546,Josephine,36050
Ray,30207,Juanita,35916
Gene,29309,Bonnie,35801
Philip,28845,Arlene,34794
Russell,28838,Gladys,34762
Frederick,26604,Joann,34696
Franklin,26378,Sally,34678
Dennis,26367,Charlotte,34646
Douglas,26032,Kathleen,34551
Jimmie,25811,Audrey,34006
Gordon,25462,Pauline,33689
Andrew,25029,Wilma,33187
Theodore,24958,Sylvia,33008
Floyd,24885,Theresa,32788
Johnny,24595,Jacqueline,32112
Allen,24356,Clara,31658
Glenn,24222,Ethel,31584
Bruce,24122,Loretta,31536
Edwin,24021,Grace,31357
Lee,23953,Sharon,31087
Lloyd,23795,Edith,31047
Bob,23291,Lucille,30842
Clifford,23099,Emma,30020
Leon,23007,Bernice,29905
Leo,22864,Marion,29565
Clyde,22448,Linda,29361
Eddie,22324,Jo,28652
Vernon,22196,Anne,28621
Martin,21929,Hazel,28564
Alvin,21483,Roberta,27730
Jim,20824,Carole,26766
Herman,20318,Darlene,25956
Lewis,20017,Esther,25791
Harvey,19904,Katherine,25192
Tommy,19858,Ellen,25139
Vincent,19405,Laura,25093
Charlie,19155,Julia,24938
Warren,19149,Rosemary,24856
Jerome,18968,Jeanette,24754
Jesse,18928,Marian,23906
Patrick,18390,Willie,23871
Stephen,18271,Beatrice,23712
Curtis,18008,Margie,23341
Arnold,17889,Billie,23296
Gilbert,17746,Vivian,22931
Elmer,17371,Eva,22797
Lester,16985,Kathryn,22582
Duane,16854,Elsie,22344
Phillip,16532,Judy,22311
Cecil,16482,Eileen,22258
Tom,16426,Anita,22224
Alan,16373,Diane,22196
Milton,15729,Bertha,21234
Jackie,15678,Susan,21029
Victor,15568,Maria,20637
Johnnie,15333,Maxine,20478
Roland,15000,Ida,20232
Benjamin,14611,Yvonne,20224
Glen,14483,Ella,19963
Chester,14412,Lillie,19924
Calvin,14178,Constance,19896
Keith,13867,Sue,19504
Dean,13626,Bobbie,19480
Sam,13351,Georgia,19013
Wallace,13242,Jeanne,18756
Claude,12739,Christine,18486
Maurice,12639,Sara,18261
Willard,12457,Alma,18248
Manuel,12329,Bessie,18036
Jose,12293,Agnes,18031
Leslie,12243,Vera,18022
Edgar,11859,Nellie,17704
Marion,11858,Kay,17300
Max,11756,Jessie,17248
Hugh,11699,Karen,16695
Oscar,11374,Lucy,16413
Virgil,11361,Mattie,16297
Allan,11358,Gertrude,16137
Jessie,11233,Rosa,16048
Darrell,11123,Minnie,15872
Terry,11026,Gail,15854
Everett,10952,Connie,15654
Wesley,10938,Geneva,14279
Ted,10526,Viola,14259
Freddie,10455,Velma,14249
Jay,10216,Marcia,14246
Dick,10163,Leona,14173
Hubert,9818,Myrtle,14134
Nicholas,9716,Violet,13863
Billie,9703,Rosalie,13712
Rodney,9695,Harriet,13689
Lowell,9659,Annette,13530
Dan,9629,Naomi,13500
Neil,9466,Charlene,13471
Sidney,9419,Pearl,13295
Homer,9412,Joy,13185
Delbert,9167,Mae,12860
Tony,9161,Suzanne,12760
Morris,9113,Claire,12639
Lyle,9057,Rebecca,12616
Wilbur,9044,Faye,12554
Luther,8858,Carrie,12526
Earnest,8722,Pat,12462
Ronnie,8709,Dora,12385
Bennie,8703,Rachel,12268
Joel,8688,Rosie,12060
Ben,8640,Emily,11918
Steve,8572,Eunice,11601
Rudolph,8199,Maureen,11460
Willis,8191,Alberta,11347
Horace,8127,Cora,11251
Lonnie,8116,Stella,11204
Mike,8029,Lula,11078
Junior,8003,Sheila,10958
Carroll,7962,Caroline,10845
Karl,7723,Glenda,10591
Guy,7563,Verna,10583
Roosevelt,7479,Lena,10538
Otis,7456,Lola,10390
Mark,7447,Myrna,10235
Nathaniel,7412,Hattie,10229
Danny,7236,Rosemarie,10130
Alton,7214,Ramona,10118
Marshall,7173,Gwendolyn,10108
Clayton,7171,Jeannette,9797
Alexander,7094,Erma,9700
Benny,6863,Genevieve,9690
Clifton,6857,Cynthia,9666
Archie,6733,Nina,9663
Oliver,6709,Patty,9625
Clinton,6708,Fannie,9550
Barry,6643,Diana,9501
Juan,6613,Jennie,9488
Salvatore,6482,Hilda,9454
Nelson,6474,Marguerite,9328
Jon,6363,Johnnie,9064
Alex,6307,Daisy,9063
