Name,Number,Name,Number
James,795738,Mary,640050
Robert,758077,Linda,531650
John,711570,Barbara,425255
William,556441,Patricia,411409
Richard,477449,Carol,292325
David,426344,Sandra,265531
Charles,361728,Nancy,252052
Thomas,350758,Sharon,221229
Michael,336553,Judith,218029
Ronald,282448,Susan,212011
Larry,255890,Betty,194620
Donald,247802,Carolyn,181851
Joseph,230268,Margaret,173021
Gary,217757,Shirley,171777
George,209005,Judy,167718
Kenneth,198537,Karen,167696
Paul,183340,Donna,165525
Edward,174779,Kathleen,152979
Jerry,167238,Joyce,151491
Dennis,162100,Dorothy,132249
Frank,119416,Janet,130753
Daniel,112768,Diane,122878
Raymond,109063,Janice,118889
Roger,107595,Joan,117703
Stephen,106802,Elizabeth,116542
Gerald,103332,Brenda,112407
Walter,83727,Gloria,105044
Harold,82168,Virginia,98996
Steven,81206,Marilyn,98971
Douglas,80761,Martha,95380
Lawrence,80450,Beverly,95120
Terry,76966,Helen,90740
Wayne,75123,Bonnie,86885
Arthur,73961,Ruth,85660
Jack,73919,Frances,85439
Carl,72731,Jean,80365
Henry,72479,Ann,76794
Willie,72415,Phyllis,76136
Bruce,72092,Pamela,73119
Joe,72010,Jane,72535
Peter,69333,Alice,72389
Billy,67826,Peggy,72118
Roy,65637,Cheryl,70958
Ralph,64969,Doris,64137
Anthony,64829,Catherine,62082
Jimmy,63517,Elaine,60105
Albert,60272,Cynthia,58058
Bobby,58886,Marie,57519
Eugene,57266,Lois,56854
Johnny,57191,Connie,56601
Fred,56666,Christine,54563
Harry,56244,Diana,53696
Howard,53529,Gail,53139
Mark,50728,Joanne,51652
Alan,50302,Rose,51639
Louis,49425,Wanda,50774
Philip,48732,Carole,50307
Patrick,48616,Rita,49852
Dale,46805,Charlotte,49477
Danny,46655,Jo,48446
Stanley,46264,Evelyn,48159
Leonard,44279,Geraldine,47933
Timothy,43502,Jacqueline,45555
Gregory,43220,Ellen,45405
Samuel,43123,Sally,45342
Ronnie,42453,Rebecca,45309
Norman,42162,Kathryn,44581
Ernest,41758,Deborah,44058
Russell,41328,Norma,43029
Francis,39518,Suzanne,41403
Melvin,39228,Anna,41283
Earl,39125,Sue,40942
Frederick,39109,Darlene,40320
Allen,39046,Patsy,40277
Bill,37760,Joann,40016
Tommy,37041,Sarah,39973
Phillip,36988,Katherine,39911
Marvin,36441,Paula,39042
Steve,36284,Annie,38716
Don,36251,Louise,38662
Clarence,36195,Roberta,38050
Barry,36189,Sylvia,37284
Glenn,35712,Anne,36145
Jim,35629,Theresa,35789
Eddie,34805,Sheila,35741
Mike,34642,Maria,35563
Andrew,34616,Laura,35071
Jeffrey,34338,Kathy,34765
Leroy,33859,Eileen,34694
Alfred,31995,Marcia,34395
Martin,31403,Rosemary,34296
Lee,30977,Glenda,33348
Tom,29884,Dolores,33099
Ray,29654,Mildred,33066
Herbert,28704,Lorraine,33045
Gene,27737,Marjorie,32902
Bernard,26446,Sherry,32756
Theodore,26245,Kay,32652
Curtis,26004,Anita,32526
Keith,25869,Dianne,32296
Clifford,25821,Ruby,31871
Rodney,24845,Irene,31819
Gordon,24465,Juanita,30445
Jimmie,24359,Maureen,30261
Jesse,24334,Loretta,30119
Vincent,23900,Jeanne,30114
Warren,23735,Constance,29910
Lloyd,23599,Lynn,29386
Leon,23577,Marlene,29294
Jerome,23108,Arlene,29093
Edwin,22974,Delores,28502
Brian,22791,Lynda,27951
Victor,22520,Julia,27892
Bob,21375,Marsha,27413
Floyd,20995,Charlene,26782
Lewis,20929,June,25166
Harvey,20759,Jeanette,24726
Alvin,20711,Edna,24697
Clyde,20708,Josephine,24322
Craig,20289,Eleanor,23760
Vernon,20036,Yvonne,23672
Leslie,19388,Vicki,23493
Franklin,19310,Vivian,22913
Calvin,19240,Emma,22788
Jon,19034,Georgia,22394
Jay,18661,Lillian,22310
Charlie,18262,Edith,22149
Darrell,18226,Pauline,21912
Jackie,18124,Wilma,21192
Dan,18019,Victoria,20752
Allan,17828,Ethel,20582
Randall,17774,Lucille,20455
Joel,17422,Florence,20392
Gilbert,17350,Sara,20273
Benjamin,17181,Margie,20260
Lester,17081,Thelma,20231
Duane,17069,Clara,20028
Leo,16959,Audrey,19718
Tony,16959,Grace,19369
Herman,16853,Teresa,19329
Jose,16817,Annette,19178
Glen,16550,Claudia,19172
Johnnie,16420,Gladys,19061
Dean,16354,Julie,19035
Arnold,16037,Marion,18491
Lonnie,15898,Gwendolyn,18342
Christopher,15870,Priscilla,18122
Nicholas,15505,Willie,18099
Freddie,15373,Esther,17637
Chester,15285,Eva,17563
Eric,15189,Andrea,17060
Milton,14878,Maryann,17053
Cecil,14837,Bernice,17029
Lynn,14201,Rosa,16796
Manuel,14188,Hazel,16657
Randy,14166,Billie,16370
Roland,13091,Bertha,16224
Ted,13026,Gayle,16198
Dwight,12862,Bobbie,16197
Claude,12818,Pat,16150
Wesley,12462,Maxine,16072
Neil,12427,Marian,16041
Sam,12350,Ella,15975
Scott,12161,Paulette,15900
Dave,11740,Joy,15565
Wallace,11465,Beatrice,15560
Kevin,11275,Cathy,15551
Hugh,10994,Lillie,15356
Donnie,10987,Janis,14862
Elmer,10877,Leslie,14855
Micheal,10619,Ida,14293
Willard,10600,Lynne,14237
Juan,10556,Deanna,13739
Maurice,10480,Faye,13709
Jessie,10320,Terry,13699
Garry,10319,Valerie,13692
Marshall,10240,Emily,13409
Oscar,10186,Rachel,13408
Edgar,9805,Lucy,13128
Karl,9723,Janie,13120
Marion,9668,Penny,13113
Sidney,9610,Jackie,13090
Stuart,9526,Harriet,12922
Nathaniel,9490,Regina,12714
Alexander,9478,Rosalie,12587
Sammy,9360,Alma,12401
Everett,9312,Angela,12259
Benny,9302,Vera,12189
Guy,8950,Jessie,12149
Virgil,8948,Marianne,11946
Morris,8801,Stephanie,11936
Matthew,8761,Jill,11865
Earnest,8704,Mattie,11779
Lyle,8619,Minnie,11735
Max,8524,Caroline,11625
Bennie,8480,Michele,11605
Wendell,8378,Veronica,11528
Kent,8346,Patty,11417
Jonathan,8296,Rosie,11404
Fredrick,8231,Stella,11363
