Name,Number,Name,Number
Michael,707619,Jennifer,581768
Christopher,475613,Amy,269004
Jason,462934,Melissa,253284
David,445939,Michelle,249146
James,444920,Kimberly,229110
John,402837,Lisa,228688
Robert,397402,Angela,225254
Brian,322825,Heather,203918
William,283554,Stephanie,160476
Matthew,277933,Nicole,144667
Joseph,244937,Jessica,143501
Daniel,244560,Elizabeth,142857
Kevin,212346,Rebecca,137295
Eric,211557,Kelly,133558
Jeffrey,202937,Mary,126259
Richard,202878,Christina,125744
Scott,194655,Amanda,123934
Mark,194391,Julie,121939
Steven,188169,Sarah,118833
Thomas,186863,Laura,118212
Timothy,181330,Shannon,113805
Anthony,174929,Christine,103237
Charles,163105,Tammy,98828
Joshua,140389,Tracy,95537
Ryan,139735,Karen,95183
Jeremy,139361,Dawn,92449
Paul,136465,Susan,88314
Andrew,133035,Andrea,86431
Gregory,115620,Tina,84766
Chad,113577,Patricia,81102
Kenneth,111532,Cynthia,80208
Jonathan,107977,Lori,77779
Stephen,107866,Rachel,77755
Shawn,105821,April,76942
Aaron,101521,Maria,76275
Adam,91806,Wendy,74187
Patrick,91305,Crystal,73767
Justin,86584,Stacy,69902
Sean,83912,Erin,67894
Edward,83489,Jamie,67849
Todd,83369,Carrie,66833
Donald,82464,Tiffany,65158
Ronald,81768,Tara,65071
Benjamin,81379,Sandra,64332
Keith,76723,Monica,61675
Bryan,71395,Danielle,60923
Gary,68284,Stacey,59214
Jose,66385,Pamela,58041
Nathan,65912,Tonya,57791
Douglas,65197,Sara,56968
Nicholas,65099,Michele,56560
Brandon,65084,Teresa,56029
George,64773,Denise,55874
Travis,64133,Jill,55074
Peter,62370,Katherine,54062
Craig,58823,Melanie,53323
Bradley,58716,Dana,51363
Larry,58148,Holly,50468
Dennis,50578,Erica,49604
Shane,50298,Brenda,48590
Raymond,49366,Deborah,47858
Troy,48859,Tanya,47828
Jerry,48363,Sharon,47777
Samuel,48113,Donna,47348
Frank,46938,Amber,47071
Jesse,44906,Emily,46851
Jeffery,44577,Robin,45943
Juan,43400,Linda,45904
Terry,42435,Kathleen,44848
Corey,41016,Leslie,44838
Phillip,39854,Christy,44591
Marcus,39490,Kristen,44216
Derek,38352,Catherine,43865
Rodney,37474,Kristin,42384
Joel,37243,Misty,42376
Carlos,36961,Barbara,42242
Randy,36547,Heidi,42231
Jacob,36387,Nancy,41855
Jamie,36300,Cheryl,40393
Tony,35700,Theresa,40081
Russell,35481,Brandy,40072
Brent,35398,Alicia,39252
Antonio,33277,Veronica,38796
Billy,33228,Gina,38118
Derrick,32864,Jacqueline,37967
Kyle,32666,Rhonda,37948
Erik,32106,Anna,37800
Johnny,32035,Renee,37597
Marc,31844,Megan,37369
Philip,31382,Tamara,37074
Carl,31378,Melinda,36439
Roger,29727,Kathryn,36437
Bobby,29080,Debra,34609
Brett,28939,Sherry,34206
Danny,28867,Allison,34173
Curtis,28817,Valerie,33819
Jon,28704,Diana,33348
Vincent,27654,Paula,32729
Cory,27514,Kristina,32649
Jimmy,27109,Ann,32032
Victor,26749,Margaret,31953
Lawrence,26668,Victoria,30887
Dustin,26579,Cindy,30881
Gerald,26160,Jodi,30352
Walter,25737,Natalie,29805
Alexander,24965,Brandi,29075
Joe,24948,Kristi,29035
Christian,24930,Suzanne,29034
Chris,24882,Samantha,28919
Alan,24824,Beth,28863
Shannon,24649,Tracey,28750
Wayne,24622,Regina,28317
Jared,24425,Vanessa,28079
Gabriel,24407,Kristy,27776
Martin,24285,Carolyn,27054
Jay,23994,Yolanda,27030
Willie,23972,Deanna,26982
Luis,23971,Carla,26848
Micheal,23796,Sheila,26509
Henry,23524,Laurie,26106
Wesley,23265,Anne,25600
Randall,23040,Shelly,25536
Brad,22624,Diane,25323
Darren,22589,Sabrina,24493
Roy,22357,Janet,24452
Albert,22123,Erika,24308
Arthur,22110,Katrina,24293
Ricky,22074,Courtney,23996
Lance,21814,Colleen,23763
Allen,21686,Carol,23478
Lee,21567,Julia,23422
Andre,21145,Jenny,22904
Bruce,21132,Jaime,22776
Mario,20955,Kathy,22704
Frederick,20732,Felicia,22331
Louis,20160,Alison,22076
Darrell,20078,Lauren,21845
Damon,20058,Kelli,21542
Shaun,19324,Leah,21150
Nathaniel,19192,Ashley,21064
Zachary,19081,Kim,20699
Casey,18986,Traci,20677
Adrian,18921,Kristine,20547
Jesus,18808,Tricia,20522
Jeremiah,18784,Joy,20118
Jack,18597,Krista,19811
Ronnie,18274,Kara,19762
Dale,18079,Terri,19602
Tyrone,17917,Sonya,19470
Manuel,17698,Aimee,19408
Ricardo,17666,Natasha,19330
Harold,17592,Cassandra,19021
Kelly,17322,Bridget,18873
Barry,17253,Anita,18831
Ian,17209,Kari,18753
Reginald,17198,Nichole,18521
Glenn,16893,Christie,18178
Ernest,16759,Marie,18131
Steve,16671,Virginia,18050
Seth,16590,Connie,17959
Eugene,16545,Martha,17920
Clinton,16352,Carmen,17874
Miguel,16317,Stacie,17833
Tommy,16180,Lynn,17613
Eddie,15872,Katie,17478
Leonard,15804,Monique,17472
Maurice,15235,Kristie,17369
Roberto,15156,Shelley,17284
Dwayne,14808,Sherri,17085
Jerome,14788,Angel,16817
Ralph,14759,Bonnie,16674
Marvin,14733,Mandy,16245
Jorge,14644,Jody,16221
Francisco,14643,Shawna,16183
Neil,14047,Kerry,16126
Alex,14022,Annette,16056
Dean,13903,Yvonne,15995
Kristopher,13886,Toni,15898
Calvin,13819,Meredith,15841
Kurt,13673,Molly,15724
Theodore,13579,Kendra,15664
Ruben,13545,Joanna,15275
Jermaine,13527,Sonia,15202
Tracy,13420,Janice,14835
Edwin,13369,Robyn,14686
Stanley,13227,Brooke,14518
Melvin,13126,Kerri,14448
Howard,12987,Sheri,14395
Mitchell,12978,Becky,14311
Duane,12409,Gloria,14221
Trevor,12352,Mindy,14023
Jeff,12264,Tracie,13794
Geoffrey,12184,Angie,13783
Hector,12134,Kellie,13670
