Name,Number,Name,Number
Michael,833201,Lisa,496982
David,734028,Mary,355228
John,713490,Susan,287649
James,684830,Karen,286053
Robert,650837,Kimberly,259085
Mark,441434,Patricia,231152
William,421481,Linda,225425
Richard,373946,Donna,213457
Thomas,327112,Michelle,208289
Jeffrey,302027,Cynthia,196608
Steven,290631,Sandra,183835
Joseph,283097,Deborah,183428
Timothy,276840,Tammy,182215
Kevin,271437,Pamela,181935
Scott,266873,Lori,176554
Brian,258184,Laura,174173
Charles,249421,Elizabeth,168910
Paul,242533,Julie,166143
Daniel,242069,Brenda,164496
Christopher,237187,Jennifer,164404
Kenneth,227527,Barbara,159754
Anthony,203167,Angela,159272
Gregory,187518,Sharon,154898
Ronald,182178,Debra,153769
Donald,172642,Teresa,151780
Gary,166029,Nancy,142720
Stephen,152235,Christine,139331
Eric,152228,Cheryl,135642
Edward,143994,Denise,128821
Douglas,135011,Kelly,128063
Todd,128753,Tina,126391
Patrick,122741,Kathleen,120952
George,113035,Melissa,119204
Keith,112590,Robin,118321
Larry,108589,Amy,116784
Matthew,105989,Diane,114446
Terry,101472,Dawn,114294
Andrew,97143,Carol,112331
Dennis,94981,Tracy,103783
Randy,93883,Kathy,101125
Jerry,93553,Rebecca,99462
Peter,92421,Theresa,97116
Frank,87174,Kim,94385
Craig,84720,Rhonda,93604
Raymond,81799,Stephanie,92820
Jeffery,79522,Cindy,91588
Bruce,74648,Janet,89314
Rodney,72190,Wendy,88963
Mike,71462,Maria,88794
Roger,71440,Michele,86991
Tony,70576,Jacqueline,84388
Ricky,66382,Debbie,84206
Steve,65644,Margaret,81863
Jeff,62082,Paula,80511
Troy,61411,Sherry,77521
Alan,61393,Catherine,76791
Carl,60791,Carolyn,75260
Danny,60721,Laurie,74449
Russell,60448,Sheila,74074
Chris,56363,Ann,72078
Bryan,55311,Jill,69143
Gerald,55300,Connie,65284
Wayne,54763,Diana,65038
Joe,53386,Terri,63737
Randall,52046,Suzanne,59759
Lawrence,51348,Andrea,58407
Dale,50431,Beth,58387
Phillip,50392,Janice,57966
Johnny,49836,Valerie,56585
Vincent,49488,Renee,55812
Martin,49111,Leslie,54457
Bradley,48737,Christina,52783
Billy,48461,Gina,52370
Glenn,48094,Lynn,51929
Shawn,47799,Annette,51915
Jonathan,47409,Cathy,51624
Jimmy,47393,Katherine,50620
Sean,47309,Judy,50329
Curtis,47245,Carla,47900
Barry,47221,Wanda,47770
Bobby,46392,Anne,47769
Walter,45929,Dana,47703
Jon,44883,Joyce,46124
Philip,44782,Regina,45824
Samuel,44257,Beverly,45241
Jay,42725,Monica,45188
Jason,42554,Bonnie,45085
Dean,42535,Kathryn,44866
Jose,42041,Anita,44404
Tim,41584,Sarah,43910
Roy,40033,Darlene,43530
Willie,39818,Jane,43332
Arthur,39620,Sherri,41629
Darryl,39193,Martha,41033
Henry,39140,Anna,40911
Darrell,38019,Colleen,40672
Allen,37708,Vicki,40510
Victor,36832,Tracey,40289
Harold,36740,Judith,39779
Greg,36451,Tamara,39008
Albert,36378,Gloria,38588
Jack,35601,Betty,38393
Darren,35042,Stacey,38264
Ronnie,34714,Penny,38218
Ralph,34182,Shirley,38071
Joel,33831,Victoria,37732
Louis,33383,Jean,37281
Jim,33203,Peggy,37035
Micheal,31970,Melanie,36751
Marc,31381,Joan,36676
Frederick,30771,Melinda,36296
Eddie,30580,Shelly,35657
Lee,30200,Stacy,35528
Stanley,29998,Virginia,35342
Tommy,29360,Marie,34810
Eugene,29309,Maureen,34444
Tom,29198,Julia,34182
Tracy,29177,Ruth,34182
Howard,28697,Ellen,34139
Leonard,28436,Tonya,34071
Kurt,28212,Shannon,33851
Marvin,28128,Heidi,33744
Kelly,28012,Joanne,33355
Brent,27166,Dorothy,33008
